,Name,Description,Name_Tokens,Description_Tokens,is_French,is_Italian,is_Polish,is_Mexican,is_Spanish
2557,Herbes de Provence," A French term for a mixture of dried herbs, usually containing basil, marjoram, rosemary, sage, summer savory, lavender, thyme, and fennel seed.","['Herbes', 'de', 'Provence']","['Herbes', 'de', 'Provence']",1,0,0,0,0
2561,Hermitage," A French appellation located in northern Rhone. Its highly regarded red wines, made from Syrah grapes, and white wines, made from Marsanne and Rousanne, are the epitome of a world class wine.",['Hermitage'],['Hermitage'],1,0,0,0,0
2592,Homard, [French] Lobster.,['Homard'],['Homard'],1,0,0,0,0
2622,Hotte," Grape picking basket worn on the backs of French grape pickers. It is traditionally made of wood, but today can be found made of metal or plastic.",['Hotte'],['Hotte'],1,0,0,0,0
2638,Hultres, [French] Oysters,['Hultres'],['Hultres'],1,0,0,0,0
2691,Infusion Coffee Maker, This type of coffee maker consists of a glass pot with a mesh covered plunger that is pressed downward to trap the coffee grounds after steeping. Also known as cafetiere or French press. ,"['Infusion', 'Coffee', 'Maker']","['Infusion', 'Coffee', 'Maker']",1,0,0,0,0
2781,Jambon, [French] ham.,['Jambon'],['Jambon'],1,0,0,0,0
2825,"Jus, au", [French] meat served with its natural juices. ,"['Jus,', 'au']","['Jus,', 'au']",1,0,0,0,0
2826,Jus," [French] a rich, lightly reduced stock used as a sauce for roasted meats. Many of these are started by deglazing the roasting pan, then reduced to achieve the rich flavor desired.",['Jus'],['Jus'],1,0,0,0,0
2920,Lait, (French) Milk.,['Lait'],['Lait'],1,0,0,0,0
2928,Langouste," [French] spiny lobster, differentiating from Maine lobsters in that they have no claws. Langoustes are warm water crustaceans that can be found in the south Atlantic Ocean, the Mediterranean Sea and off the coasts of South America, Australia and the West Indies.",['Langouste'],['Langouste'],1,0,0,0,0
2929,Langoustine," [French] Dublin prawn. These are small pink crustaceans resembling crayfish, with a taste and texture closest to lobster. Their claws are quite long but have no edible meat in them. Like the langouste, these are found in warm waters.",['Langoustine'],['Langoustine'],1,0,0,0,0
2930,Langue de chat," [French] Flat, finger-shaped, crisp biscuit or cookie served with cold desserts.","['Langue', 'de', 'chat']","['Langue', 'de', 'chat']",1,0,0,0,0
2931,Langue, [French] tongue,['Langue'],['Langue'],1,0,0,0,0
2932,Lapin, [French] rabbit,['Lapin'],['Lapin'],1,0,0,0,0
2973,Legumes," [French] vegetables; plants with seed pods, such as peas and beans. Seeds of a legume are most often soaked and used in soups, stews and baked dishes.",['Legumes'],['Legumes'],1,0,0,0,0
3072,Lyonnaise Potatoes, A French side dish of sliced potatoes sauteed with onions.,"['Lyonnaise', 'Potatoes']","['Lyonnaise', 'Potatoes']",1,0,0,0,0
3073,Lyonnaise Sauce," A classic French sauce preparation made with sauteed onions, white wine and demi-glace. The sauce is strained before being served with meats and sometime poultry.","['Lyonnaise', 'Sauce']","['Lyonnaise', 'Sauce']",1,0,0,0,0
3074,Lyonnaise," [French] In the Lyons style, traditionally with onions.",['Lyonnaise'],['Lyonnaise'],1,0,0,0,0
3082,Macedoine, [French] A mixture of fruit or vegetables. Vegetable macedoine are cut into small dice and used as a garnish to meats. Fruit macedoine are cut in larger pieces and often marinated in sugar syrup with liqueur.,['Macedoine'],['Macedoine'],1,0,0,0,0
3103,Maigre, French term for a dish containing no meat. It may also refer to lean or low-fat cooking.,['Maigre'],['Maigre'],1,0,0,0,0
3110,Mais, [French] corn.,['Mais'],['Mais'],1,0,0,0,0
3144,Maquereau, [French] mackerel.,['Maquereau'],['Maquereau'],1,0,0,0,0
3155,Marina," [French] Pickled, marinated.",['Marina'],['Marina'],1,0,0,0,0
3175,Marmite, [French] a rich meat soup or stock; an earthenware stock pot.,['Marmite'],['Marmite'],1,0,0,0,0
3195,Matelote," [French] in the sailor's style. A fish stew made with wine. The Alsatian version of this dish is made with freshwater fish, Riesling wine, and thickened with cream and egg yolks. The Normandy version includes seafood and is flavored with cider and Calvados. These stews are normally embellished with pearl onions and mushrooms. Also, asauce made with court bouillon and red wine.",['Matelote'],['Matelote'],1,0,0,0,0
3209,Medallion," [French] the ""eye"" of a rib lamb chop.",['Medallion'],['Medallion'],1,0,0,0,0
3234,Meringue," [French] whipped egg whites to which sugar has been added to form a stiff paste. These are used to lighten mousses, cakes and pastry creams. Unsweetened versions are used to lighten forcemeats.",['Meringue'],['Meringue'],1,0,0,0,0
3253,Miel, [French and Italian] honey.,['Miel'],['Miel'],1,1,0,0,0
3281,Mirabelle," [French] small yellow plum, used as tart filling; a liqueur made from small yellow plums.",['Mirabelle'],['Mirabelle'],1,0,0,0,0
3287,Mise en place," [French] mise (to put) en (in) place (place). A French term well-known to any professional cook. It means ""putting in place,"" and refers to the many prepped ingredients that must be on hand in order to be ready for meal service.","['Mise', 'en', 'place']","['Mise', 'en', 'place']",1,0,0,0,0
3327,Mont Blanc, A classic French dessert made with sweetened chestnut puree. The puree is passed through a ricer and formed into a fluffy mound on a platter. The dessert is then topped with whipped cream.,"['Mont', 'Blanc']","['Mont', 'Blanc']",1,0,0,0,0
3347,Mother Sauces," A French concept that classifies all sauces into five foundation sauces called ""mother"" or ""grand sauces."" From these five sauces, all sauces can be made. They are:  1. Demiglace or brown; 2. Veloute or blond; 3. Bechamel or white; 4. Hollandaise or butter; 5. Tomato or red.","['Mother', 'Sauces']","['Mother', 'Sauces']",1,0,0,0,0
3349,Mouler, [French] To grind soft food into a puree or dry food into a powder.,['Mouler'],['Mouler'],1,0,0,0,0
3350,Moules, [French] mussels.,['Moules'],['Moules'],1,0,0,0,0
3356,Moutarde, [French] mustard.,['Moutarde'],['Moutarde'],1,0,0,0,0
3357,Mouton, [French] mutton.,['Mouton'],['Mouton'],1,0,0,0,0
3442,Neufchatel," [French] A soft unripened cheese originally from Neufchatel-en-Bray, France. It has a fat content of 44 to 48%. Also available as low-fat cream cheese in the U.S.",['Neufchatel'],['Neufchatel'],1,0,0,0,0
3458,Nicoise Olive," Small French black (harvested fully ripe) olive with a high pit-to-meat ratio. Nicoise olives are brine-cured and packed in olive oil, often with herbs. They can vary in color from purple-brown to brown-black, and have a rich, nutty, smooth flavor.","['Nicoise', 'Olive']","['Nicoise', 'Olive']",1,0,0,0,0
3459,"Nicoise, A La"," Food cooked in the manner of the chefs of the French city of Nice, generally includes a garnish of garlic, tomatoes, anchovies, black olives, capers and lemon juice.","['Nicoise,', 'A', 'La']","['Nicoise,', 'A', 'La']",1,0,0,0,0
3460,"Nicoise, Nigoise"," [French] foods cooked in the style of Nice. These dishes may include garlic, Nicoise olives, anchovies, tomatoes, and green beans. Salad Nicoise is the most famous of all these dishes, consisting of potatoes, olives, green beans, and vinaigrette dressing. Also, a garnish of garlic, tomatoes, capers and lemon.","['Nicoise,', 'Nigoise']","['Nicoise,', 'Nigoise']",1,0,0,0,0
3468,Noix, [French] nut.,['Noix'],['Noix'],1,0,0,0,0
3494,Normal stock (food industry term), [French] noodles.,"['Normal', 'stock', '(food', 'industry', 'term)']","['Normal', 'stock', '(food', 'industry', 'term)']",1,0,0,0,0
3524,Oeuf, [French] egg.,['Oeuf'],['Oeuf'],1,0,0,0,0
3531,Oie, [French] goose.,['Oie'],['Oie'],1,0,0,0,0
3532,Oignon, [French] onion.,['Oignon'],['Oignon'],1,0,0,0,0
3600,Oseille, [French] sorrel.,['Oseille'],['Oseille'],1,0,0,0,0
3652,Pain Perdu," ""Lost bread."" French toast.","['Pain', 'Perdu']","['Pain', 'Perdu']",1,0,0,0,0
3653,Pain, [French] bread.,['Pain'],['Pain'],1,0,0,0,0
3670,Panache, [French] mixed.,['Panache'],['Panache'],1,0,0,0,0
3715,Parfait," [French] A dessert made of layers of fruit, syrup, ice cream and whipped cream, frozen and served in tall slender glasses.",['Parfait'],['Parfait'],1,0,0,0,0
3716,Parfum, [French] flavor.,['Parfum'],['Parfum'],1,0,0,0,0
3720,Parmentier, [French] any dish prepared with potatoes. The term is derived from Antoine Parmentier who introduced the potato to France.,['Parmentier'],['Parmentier'],1,0,0,0,0
3742,Elbows, To kill bacteria by heating liquids to moderately high temperatures only briefly. French scientist Louis Pasteur discovered the solution while he was researching the cause of beer and wine spoilage.,['Elbows'],['Elbows'],1,0,0,0,0
3743,Farfalle," [French] to sterilize milk by heating it to 60 to 82C or 140 to 180F degrees to destroy harmful bacteria. The term is derived from Louis Pasteur, who developed the method.",['Farfalle'],['Farfalle'],1,0,0,0,0
3768,Patatas," A well:seasoned French preparation using a meat or fish paste filling. Sometimes a fruit or vegetable mixture is used. Can be smooth or coarsely textured. Pates may be served hot or cold, usually as a first course or appetizer. ",['Patatas'],['Patatas'],1,0,0,0,0
3770,Pate a Choux," [French] a term referring to many different preparations of meat, fish and vegetable pies. The definitions of which have been altered through the years. Originally patâ referred to a filled pastry much like American or English pies. Now the term pate en croute is used to describe these preparations. Pate en terrine has been shortened to either pate or terrine. A terrine is generally a finer forcemeat than that used for pate, and is always served cold. Pates are coarser forcemeats and, as stated before, are often prepared in a pastry crust. We now use these terms interchangeably and inclusive of all styles of forcemeat. Look for definitions under ballottine and galantine.","['Pate', 'a', 'Choux']","['Pate', 'a', 'Choux']",1,0,0,0,0
3771,Pate a Foncer, [French] pasta.,"['Pate', 'a', 'Foncer']","['Pate', 'a', 'Foncer']",1,0,0,0,0
3772,Pate Brisee, [French] pastry.,"['Pate', 'Brisee']","['Pate', 'Brisee']",1,0,0,0,0
3779,Pates," [French] cold savory mousse mixture set in a square mold coated with aspic jelly; square sponge cake, filled with butter cream and coated with icing.",['Pates'],['Pates'],1,0,0,0,0
3785,Patty," French name avariety of vegetables cut in a small square, usually about 1/4"". Used in soups or granish for meats and seafood.",['Patty'],['Patty'],1,0,0,0,0
3787,Paupiettes," A dessert created in the late 1800s by the famous French chef Escoffier for Dame Nellie Melba, a popular Australian opera singer. It's made with two peach halves that have been poached in syrup and cooled. Each peach half is placed hollow side down on top of a scoop of vanilla ice cream, then topped with Melba sauce (a raspberry sauce) and sometimes with whipped cream and sliced almonds. ",['Paupiettes'],['Paupiettes'],1,0,0,0,0
3801,Peanut, [French] peach.,['Peanut'],['Peanut'],1,0,0,0,0
3824,Peppercorn, [French] partridge.,['Peppercorn'],['Peppercorn'],1,0,0,0,0
3835,Guajillo, [French] parsley.,['Guajillo'],['Guajillo'],1,0,0,0,0
3847,Perejil, [French] a roll.,['Perejil'],['Perejil'],1,0,0,0,0
3848,Performance allowance (food industry term), [French] Tiny young green peas.,"['Performance', 'allowance', '(food', 'industry', 'term)']","['Performance', 'allowance', '(food', 'industry', 'term)']",1,0,0,0,0
3864,Pet foods and supplies (food industry term)," French green olive, salt-brine cured, with a subtle, slightly salty flavor; sometimes preserved with citric acid in the United States.","['Pet', 'foods', 'and', 'supplies', '(food', 'industry', 'term)']","['Pet', 'foods', 'and', 'supplies', '(food', 'industry', 'term)']",1,0,0,0,0
3884,Pichon," A family of fish that includes the pike, pickerel, and the muskellunge. These freshwater fish have long bodies, pointed heads, vicious teeth, and provide a lean, firm, bony flesh. Used in French ""quenelles"" and the Jewish ""gefilte fish."" ",['Pichon'],['Pichon'],1,0,0,0,0
3907,"Pilaf, Pilau", [French] Guinea hen.,"['Pilaf,', 'Pilau']","['Pilaf,', 'Pilau']",1,0,0,0,0
3919,Pimientos dulces, A southern French pizza consisting of a thick bread crust covered with cooked onions flavored with garlic. The pizza is then topped with black olives and anchovies.,"['Pimientos', 'dulces']","['Pimientos', 'dulces']",1,0,0,0,0
3927,Pinon," [French] meat or chicken, cooked in red wine, tomato sauce and flavored with garlic; plat du jour -  dish of the day.",['Pinon'],['Pinon'],1,0,0,0,0
3965,Plum Sauce, [French] fish.,"['Plum', 'Sauce']","['Plum', 'Sauce']",1,0,0,0,0
3978,Poblano, [French] potato.,['Poblano'],['Poblano'],1,0,0,0,0
3979,Poele, [French] apple.,['Poele'],['Poele'],1,0,0,0,0
4009,Porcini, [French] thick soup.,['Porcini'],['Porcini'],1,0,0,0,0
4015,Porter house steak, [French] chicken.,"['Porter', 'house', 'steak']","['Porter', 'house', 'steak']",1,0,0,0,0
4016,Porterhouse Steak, [French] young chicken.,"['Porterhouse', 'Steak']","['Porterhouse', 'Steak']",1,0,0,0,0
4027,Pot roast, In French cookery this is a powder or paste made of caramelized almonds and/or hazelnuts. American cookery refers to a candy consisting of caramel and pecans. Candy eaten in the Southwest; made from brown sugar and pecans.,"['Pot', 'roast']","['Pot', 'roast']",1,0,0,0,0
4062,Price book (food industry term), [French] garnish of spring vegetables.,"['Price', 'book', '(food', 'industry', 'term)']","['Price', 'book', '(food', 'industry', 'term)']",1,0,0,0,0
4108,"Profit, net (food industry term)"," [French] in the Provence style; served with a spicy garnish of tomatoes, mushrooms and garlic in oil.","['Profit,', 'net', '(food', 'industry', 'term)']","['Profit,', 'net', '(food', 'industry', 'term)']",1,0,0,0,0
4118,Promotional licensing (food industry term)," A rich, multilayered French pastry made with butter, flour, eggs, and water. Puff pastry is made by placing chilled butter pats between layers of dough, then rolling the dough, folding it in thirds and letting it rest. The process is repeated several times, producing a dough with hundreds of layers of dough and butter. When baked, the moisture in the butter creates steam, which causes the dough to separate into flaky layers. ","['Promotional', 'licensing', '(food', 'industry', 'term)']","['Promotional', 'licensing', '(food', 'industry', 'term)']",1,0,0,0,0
4136,"Puff paste, pastry", [French] sieved raw or cooked food; thick vegetable soup which is passed through a sieve or an electric blender or food processor.,"['Puff', 'paste,', 'pastry']","['Puff', 'paste,', 'pastry']",1,0,0,0,0
4145,Pumate," A truncated pyramid is the shape of this small French chevre that is often coated with dark gray edible ash. The texture can range from soft to slightly crumbly and depending upon its age, in flavor from mild to sharp. It is wonderful served with crackers or bread and fruit.",['Pumate'],['Pumate'],1,0,0,0,0
4154,Quatre-epices," A French spice mixture containing ground cinnamon, nutmeg, cloves, and pepper. This mixture is used to season stews and pates.",['Quatre-epices'],['Quatre-epices'],1,0,0,0,0
4157,Quenches, [French] Light savory dumplings made of meat or fish and used as a garnish or in a delicate sauce.,['Quenches'],['Quenches'],1,0,0,0,0
4170,Quiche Lorraine, [French] A custard pie containing cheese and ham or bacon.,"['Quiche', 'Lorraine']","['Quiche', 'Lorraine']",1,0,0,0,0
4171,Quiche," [French] a savory, open top pie made of eggs, milk or cream, and anything else within reach. The most famous of these is the quiche Lorraine of Alsace, made with bacon and Gruyere cheese.",['Quiche'],['Quiche'],1,0,0,0,0
4187,Ragout," A French term for a well seasoned stew made of meat, fish, or vegetables.",['Ragout'],['Ragout'],1,0,0,0,0
4205,Ratatouille," [French] a vegetable stew consisting of onions, eggplant, sweet peppers, zucchini, and tomatoes flavored with garlic, herbs, and olive oil.",['Ratatouille'],['Ratatouille'],1,0,0,0,0
4210,Raw-milk cheese," Made with unpasteurized milk (parmigiano reggiano, Swiss gruyere, French roquefort, traditional cheddars).","['Raw-milk', 'cheese']","['Raw-milk', 'cheese']",1,0,0,0,0
4279,Remoulade," This classic French sauce (or salad dressing) is made by combining mayonnaise (usually homemade) with mustard, capers and chopped gherkins, herbs and anchovies. It is served chilled as an accompaniment to cold meat, fish and shellfish.",['Remoulade'],['Remoulade'],1,0,0,0,0
4361,Ris, [French] sweetbreads.,['Ris'],['Ris'],1,0,0,0,0
4384,Rognons, [French] kidneys.,['Rognons'],['Rognons'],1,0,0,0,0
4400,Roquefort Cheese," One of the oldest and best-known cheeses in the world, this French cheese made from sheep's milk is considered the prototype of blue cheeses.","['Roquefort', 'Cheese']","['Roquefort', 'Cheese']",1,0,0,0,0
4401,Rosbif, [French] roast beef.,['Rosbif'],['Rosbif'],1,0,0,0,0
4409,RÃ³ti, [French] roast.,['RÃ³ti'],['RÃ³ti'],1,0,0,0,0
4412,Rotisserie, [French] rotating spit used for roasting or grilling meat or poultry.,['Rotisserie'],['Rotisserie'],1,0,0,0,0
4417,Roulade," [French] rolled meat, chocolate cake, vegetables, etc.",['Roulade'],['Roulade'],1,0,0,0,0
4420,Roux," [French] a mixture of flour and fat used to thicken sauces, soups, and stews. Though usually made with butter, roux is also made with bacon or poultry fats, margarine, and vegetable oil. The mixture is cooked for a brief time to remove the raw taste of the starch from the flour. Longer cooking results in a darker color, which is favorable in Creole cooking where roux are cooked for long periods until they reach a dark brown color with a nut-like flavor and aroma.",['Roux'],['Roux'],1,0,0,0,0
4446,Saignant, [French] referring too meat preparation -  undone.,['Saignant'],['Saignant'],1,0,0,0,0
4501,Saucisse, [French] a very small sausage.,['Saucisse'],['Saucisse'],1,0,0,0,0
4502,Saucisson, [French] sausage.,['Saucisson'],['Saucisson'],1,0,0,0,0
4505,Saumon, [French] salmon.,['Saumon'],['Saumon'],1,0,0,0,0
4510,Saute," [French] to prepare food by rapidly friying in shallow, hot fat, and turned until evenly browned.",['Saute'],['Saute'],1,0,0,0,0
4511,Savarin," [French] rich yeast cake, which is baked in a ring mold and soaked in liqueur-flavored syrup. Served cold with cream or cream sauce.",['Savarin'],['Savarin'],1,0,0,0,0
4776,Sorbet," [French] water, sugar, and flavorings, usually fresh fruit, frozen in an ice-cream machine. Best eaten immediately after making.",['Sorbet'],['Sorbet'],1,0,0,0,0
4782,Soubise, [French] with a flavoring of pureed onion.,['Soubise'],['Soubise'],1,0,0,0,0
4783,Souffle," From the French for ""breath,"" a fluffy, airy dish that can be sweet or savory. Souffles rise as they bake, forming a top hat-like shape and most should be served immediately.",['Souffle'],['Souffle'],1,0,0,0,0
4968,Sucre, [French] sugar.,['Sucre'],['Sucre'],1,0,0,0,0
5050,Table d'hote," [French] meal of a definite number of courses, selected by the restaurant for a preset price.","['Table', ""d'hote""]","['Table', ""d'hote""]",1,0,0,0,0
5111,Telera, [Spanish] French roll.,['Telera'],['Telera'],1,0,0,0,1
5130,Terrine," [French] finely ground meats or fish, etc. See ""Pate"" for description; an earthenware pot used in cooking and serving pasta.",['Terrine'],['Terrine'],1,0,0,0,0
5154,Timbale," [French] a molded dish. Also a high-sided pie crust filled with cooked meat, fish or fruit.",['Timbale'],['Timbale'],1,0,0,0,0
5252,Truffle," This is a tuber of unusual flavor and aroma. It is savored in Italian and French cookery, and due to its scarcity, draws a very high price. The truffle has yet to be successfully cultivated, though a fine substitute is now being grown in California. The black truffle of Perigord and the white truffle of Piedmont are highly prized for their exceptional flavors. The black truffle requires cooking to allow the flavors to be fully achieved. Conversely, the white truffle is best when shaved directly on the dish before eating. The aroma of truffles is strong enough to permeate egg shells when the two are stored together. Due to their short growing season and large demand, truffles can reach a price of up to $800 per pound. Frozen and canned forms are more accessible, but their taste never reaches that of fresh truffles. Also, a very rich chocolate candy.",['Truffle'],['Truffle'],1,1,0,0,0
5253,Truite, [French]  trout,['Truite'],['Truite'],1,0,0,0,0
5377,Veau, [French] veal.,['Veau'],['Veau'],1,0,0,0,0
5386,Veloute," [French] an extremely smooth creamy sauce of various stock bases thickened with a roux. This is used as a base for other more complex sauces, though it may be used alone.",['Veloute'],['Veloute'],1,0,0,0,0
5400,Veronique, [French] containing or garnished with green grapes.,['Veronique'],['Veronique'],1,0,0,0,0
5409,Vichyssoise," [French] thick cold smooth soup of potatoes and leeks. Other versions now use zucchini, apples, and carrots.",['Vichyssoise'],['Vichyssoise'],1,0,0,0,0
5419,Vinaigrette," [French] a sauce commonly used to dress salads, comprised of oil and acid, such s vinegar or citrus juice. Emulsified vinaigrettes use egg and/or mustard to stabilize the dressing. Other combinations using acids other than vinegar, such as wine or citrus juice, are also called vinaigrettes.",['Vinaigrette'],['Vinaigrette'],1,0,0,0,0
5427,Vol-au-Vent," [French] a large round pastry case which is filled with a sauced mixture of meat, seafood, or vegetables then topped with a pastry lid. A small puff paste shell with various fillings.",['Vol-au-Vent'],['Vol-au-Vent'],1,0,0,0,0
5463,Water bath," The French call this cooking technique ""bain marie."" It consists of placing a container of food in a large, shallow pan of warm water, which surrounds the food with gentle heat. The food may be cooked in this manner either in an oven or on top of a range. This technique is designed to cook delicate dishes such as custards, sauces and savory mousses without breaking or curdling them. It can also be used to keep foods warm.","['Water', 'bath']","['Water', 'bath']",1,0,0,0,0
